Date, Open, High, Low, Close, Volume,Company
2/16/2022,415,415,415,415,100,KUKZ
2/11/2022,410,410,410,410,100,KUKZ
2/9/2022,418,418,418,418,100,KUKZ
2/7/2022,418,418,418,418,200,KUKZ
2/1/2022,418,418,418,418,200,KUKZ
1/25/2022,418,418,418,418,100,KUKZ
1/20/2022,419,419,419,419,100,KUKZ
1/18/2022,385,385,385,385,400,KUKZ
1/11/2022,385,385,385,385,300,KUKZ
1/5/2022,420,420,420,420,100,KUKZ
12/15/2021,385.5,385.5,385,385,61600,KUKZ
11/24/2021,423.5,423.5,423.5,423.5,200,KUKZ
11/16/2021,385,385,385,385,100,KUKZ
11/11/2021,415,415,415,415,200,KUKZ
11/10/2021,385,385,385,385,100,KUKZ
11/2/2021,385,385,385,385,100,KUKZ
11/1/2021,415,415,415,415,100,KUKZ
10/27/2021,385,385,385,385,100,KUKZ
9/30/2021,385.25,385.25,383,384.5,300,KUKZ
9/27/2021,390,390,390,390,100,KUKZ
9/24/2021,390,390,390,390,100,KUKZ
9/8/2021,385.25,385.25,385.25,385.25,100,KUKZ
9/6/2021,383,383,383,383,100,KUKZ
9/1/2021,383.25,383.25,383.25,383.25,100,KUKZ
8/31/2021,410,410,410,410,100,KUKZ
8/23/2021,415,415,415,415,100,KUKZ
8/19/2021,382,382,382,382,100,KUKZ
8/17/2021,415,415,415,415,100,KUKZ
8/16/2021,415,415,415,415,100,KUKZ
8/10/2021,415,415,415,415,100,KUKZ
7/30/2021,415,415,415,415,100,KUKZ
7/29/2021,410,410,410,410,100,KUKZ
7/28/2021,410,410,371,397,300,KUKZ
7/27/2021,410,410,410,410,100,KUKZ
7/15/2021,372.75,372.75,372.75,372.75,100,KUKZ
7/9/2021,375.5,375.5,370,372.75,600,KUKZ
7/1/2021,405,405,405,405,200,KUKZ
6/30/2021,405,405,405,405,200,KUKZ
6/28/2021,405,405,405,405,100,KUKZ
6/25/2021,405,405,405,405,100,KUKZ
6/22/2021,405,405,405,405,200,KUKZ
6/17/2021,380,380,380,380,6100,KUKZ
6/16/2021,385,385,385,385,1000,KUKZ
6/14/2021,405,405,405,405,100,KUKZ
6/2/2021,380,380,380,380,100,KUKZ
5/6/2021,360,360,360,360,1100,KUKZ
5/5/2021,360,360,360,360,100,KUKZ
4/30/2021,355,360,355,358.25,300,KUKZ
4/14/2021,355,355,355,355,100,KUKZ
4/6/2021,351,351,351,351,300,KUKZ
3/29/2021,355,355,355,355,100,KUKZ
