Date, Open, High, Low, Close, Volume
04/11/19, 300.00, 300.00, 300.00, 300.00, 300
04/04/19, 300.00, 300.00, 300.00, 300.00, 100
03/20/19, 300.00, 300.00, 300.00, 300.00, 2000
03/19/19, 310.00, 310.00, 310.00, 310.00, 400
03/15/19, 310.00, 310.00, 310.00, 310.00, 4000
03/08/19, 310.00, 310.00, 310.00, 310.00, 100
03/07/19, 310.00, 310.00, 310.00, 310.00, 500
02/26/19, 320.00, 320.00, 320.00, 320.00, 100
02/25/19, 320.00, 320.00, 320.00, 320.00, 100
02/22/19, 320.00, 320.00, 320.00, 320.00, 1300
02/19/19, 320.00, 320.00, 320.00, 320.00, 100
02/18/19, 320.00, 320.00, 320.00, 320.00, 400
02/01/19, 310.00, 310.00, 310.00, 310.00, 100
01/23/19, 310.00, 310.00, 310.00, 310.00, 100
01/22/19, 310.00, 310.00, 310.00, 310.00, 1300
01/18/19, 310.00, 310.00, 310.00, 310.00, 200
01/16/19, 314.75, 315.00, 308.00, 314.75, 41800
01/14/19, 310.00, 310.00, 310.00, 310.00, 1000
12/31/18, 310.00, 310.00, 310.00, 310.00, 400
12/28/18, 310.00, 310.00, 310.00, 310.00, 100
12/20/18, 310.00, 310.00, 310.00, 310.00, 7000
12/19/18, 310.00, 310.00, 310.00, 310.00, 1100
12/05/18, 310.00, 310.00, 310.00, 310.00, 200
11/22/18, 310.00, 310.00, 310.00, 310.00, 400
10/25/18, 310.00, 310.00, 310.00, 310.00, 200
10/24/18, 310.00, 310.00, 310.00, 310.00, 25000
10/12/18, 310.00, 310.00, 310.00, 310.00, 2000
10/09/18, 310.00, 311.00, 310.00, 310.00, 600
10/08/18, 311.00, 311.00, 311.00, 311.00, 100
10/02/18, 310.00, 310.00, 310.00, 310.00, 3000
09/13/18, 320.00, 320.00, 320.00, 320.00, 6000
09/12/18, 315.00, 315.00, 315.00, 315.00, 800
09/04/18, 316.00, 316.00, 316.00, 316.00, 400
08/27/18, 316.00, 320.00, 310.00, 316.00, 1500
08/20/18, 320.00, 320.00, 320.00, 320.00, 600
08/17/18, 320.00, 320.00, 320.00, 320.00, 2000
08/13/18, 320.00, 320.00, 320.00, 320.00, 100
08/08/18, 320.00, 320.00, 320.00, 320.00, 2200
08/07/18, 320.00, 320.00, 320.00, 320.00, 2700
08/02/18, 320.00, 320.00, 320.00, 320.00, 70000
07/24/18, 320.00, 320.00, 320.00, 320.00, 200
07/23/18, 320.00, 320.00, 320.00, 320.00, 600
07/16/18, 320.00, 320.00, 320.00, 320.00, 300
07/12/18, 320.00, 320.00, 320.00, 320.00, 5000
06/28/18, 320.00, 320.00, 320.00, 320.00, 69400
06/20/18, 320.00, 320.00, 320.00, 320.00, 500
06/13/18, 320.00, 320.00, 320.00, 320.00, 1000
06/12/18, 320.00, 320.00, 320.00, 320.00, 1000
06/06/18, 320.00, 320.00, 320.00, 320.00, 1000
06/05/18, 354.00, 355.00, 304.00, 354.00, 10300
